Year,mth,d,Twilight,Sunrise,Transit,Shadow 1,Shadow 2,Sunset,Twilight
2019,1,1,06 06,08 06,12 04,13 46,14 16,16 02,18 02
2019,1,2,06 06,08 06,12 05,13 47,14 17,16 03,18 03
2019,1,3,06 06,08 06,12 05,13 48,14 19,16 04,18 04
2019,1,4,06 06,08 06,12 05,13 49,14 20,16 05,18 05
2019,1,5,06 06,08 06,12 06,13 50,14 21,16 07,18 06
2019,1,6,06 06,08 05,12 06,13 51,14 22,16 08,18 07
2019,1,7,06 06,08 05,12 07,13 52,14 23,16 09,18 08
2019,1,8,06 06,08 04,12 07,13 53,14 24,16 10,18 09
2019,1,9,06 05,08 04,12 08,13 54,14 26,16 12,18 10
2019,1,10,06 05,08 03,12 08,13 56,14 27,16 13,18 12
2019,1,11,06 05,08 03,12 08,13 57,14 28,16 15,18 13
2019,1,12,06 04,08 02,12 09,13 58,14 30,16 16,18 14
2019,1,13,06 04,08 01,12 09,13 59,14 31,16 18,18 15
2019,1,14,06 03,08 01,12 10,14 00,14 33,16 19,18 16
2019,1,15,06 03,08 00,12 10,14 02,14 34,16 21,18 18
2019,1,16,06 02,07 59,12 10,14 03,14 36,16 22,18 19
2019,1,17,06 02,07 58,12 11,14 04,14 37,16 24,18 20
2019,1,18,06 01,07 57,12 11,14 06,14 39,16 25,18 22
2019,1,19,06 00,07 56,12 11,14 07,14 40,16 27,18 23
2019,1,20,05 59,07 55,12 12,14 08,14 42,16 29,18 24
2019,1,21,05 59,07 54,12 12,14 10,14 43,16 30,18 26
2019,1,22,05 58,07 53,12 12,14 11,14 45,16 32,18 27
2019,1,23,05 57,07 52,12 12,14 12,14 47,16 34,18 29
2019,1,24,05 56,07 51,12 13,14 14,14 48,16 35,18 30
2019,1,25,05 55,07 49,12 13,14 15,14 50,16 37,18 31
2019,1,26,05 54,07 48,12 13,14 17,14 52,16 39,18 33
2019,1,27,05 53,07 47,12 13,14 18,14 53,16 41,18 34
2019,1,28,05 52,07 45,12 14,14 20,14 55,16 42,18 36
2019,1,29,05 51,07 44,12 14,14 21,14 57,16 44,18 37
2019,1,30,05 50,07 42,12 14,14 22,14 58,16 46,18 39
2019,1,31,05 48,07 41,12 14,14 24,15 00,16 48,18 40
2019,2,1,05 47,07 39,12 14,14 25,15 02,16 50,18 42
2019,2,2,05 46,07 38,12 14,14 27,15 03,16 51,18 43
2019,2,3,05 45,07 36,12 14,14 28,15 05,16 53,18 45
2019,2,4,05 43,07 35,12 15,14 30,15 07,16 55,18 47
2019,2,5,05 42,07 33,12 15,14 31,15 08,16 57,18 48
2019,2,6,05 41,07 31,12 15,14 33,15 10,16 59,18 50
2019,2,7,05 39,07 30,12 15,14 34,15 12,17 01,18 51
2019,2,8,05 38,07 28,12 15,14 36,15 14,17 02,18 53
2019,2,9,05 36,07 26,12 15,14 37,15 15,17 04,18 54
2019,2,10,05 35,07 24,12 15,14 38,15 17,17 06,18 56
2019,2,11,05 33,07 23,12 15,14 40,15 19,17 08,18 58
2019,2,12,05 31,07 21,12 15,14 41,15 20,17 10,18 59
2019,2,13,05 30,07 19,12 15,14 43,15 22,17 12,19 01
2019,2,14,05 28,07 17,12 15,14 44,15 24,17 13,19 03
